#Année & Rang & Débit & TempsRetour & F(Q) & U & Q 
1987 & 1 & 495.00 & 58.00 & 0.98 & 4.05 & 483.08
1993 & 2 & 460.00 & 19.33 & 0.95 & 2.94 & 412.53
1972 & 3 & 380.00 & 11.60 & 0.91 & 2.41 & 379.10
1965 & 4 & 350.00 & 8.29 & 0.88 & 2.05 & 356.64
1978 & 5 & 325.00 & 6.44 & 0.84 & 1.78 & 339.53
1967 & 6 & 320.00 & 5.27 & 0.81 & 1.56 & 325.57
1981 & 7 & 320.00 & 4.46 & 0.78 & 1.37 & 313.70
1977 & 8 & 315.00 & 3.87 & 0.74 & 1.21 & 303.28
1983 & 9 & 290.00 & 3.41 & 0.71 & 1.06 & 293.95
1992 & 10 & 290.00 & 3.05 & 0.67 & 0.92 & 285.44
1971 & 11 & 270.00 & 2.76 & 0.64 & 0.80 & 277.57
1991 & 12 & 270.00 & 2.52 & 0.60 & 0.68 & 270.20
1973 & 13 & 250.00 & 2.32 & 0.57 & 0.57 & 263.24
1986 & 14 & 247.00 & 2.15 & 0.53 & 0.47 & 256.60
1970 & 15 & 235.00 & 2.00 & 0.50 & 0.37 & 250.20
1982 & 16 & 235.00 & 1.87 & 0.47 & 0.27 & 244.00
1988 & 17 & 230.00 & 1.76 & 0.43 & 0.17 & 237.94
1984 & 18 & 225.00 & 1.66 & 0.40 & 0.08 & 231.97
1968 & 19 & 220.00 & 1.57 & 0.36 & -0.02 & 226.05
1979 & 20 & 215.00 & 1.49 & 0.33 & -0.11 & 220.11
1980 & 21 & 215.00 & 1.41 & 0.29 & -0.20 & 214.10
1989 & 22 & 210.00 & 1.35 & 0.26 & -0.30 & 207.97
1969 & 23 & 205.00 & 1.29 & 0.22 & -0.40 & 201.61
1975 & 24 & 200.00 & 1.23 & 0.19 & -0.51 & 194.92
1985 & 25 & 200.00 & 1.18 & 0.16 & -0.62 & 187.72
1990 & 26 & 180.00 & 1.14 & 0.12 & -0.75 & 179.72
1966 & 27 & 175.00 & 1.09 & 0.09 & -0.90 & 170.39
1974 & 28 & 160.00 & 1.05 & 0.05 & -1.09 & 158.43
1976 & 29 & 155.00 & 1.02 & 0.02 & -1.40 & 138.49
